766403;"VOLKSWAGEN AG V...";134,95;"+1,66%";133,8;135,2;133,5;110184;"09:36 / 27.03."
750000;"THYSSENKRUPP AG...";19,66;"+0,67%";19,66;19,71;19,535;165377;"09:36 / 27.03."
723610;"SIEMENS AG NAME...";76,65;"-0,58Ê%";77,2;77,35;76,61;606256;"09:36 / 27.03."
716460;"SAP AG INHABER-...";53,35;"+0,45%";53,19;53,4;53,17;309878;"09:36 / 27.03."
703712;"RWE AG INHABER-...";36,72;"+0,85%";36,56;36,78;36,5;304335;"09:36 / 27.03."
843002;"MUENCHENER RUEC...";117,75;"+0,43%";117,5;117,85;117,35;81702;"09:36 / 27.03."
725750;"METRO AG STAMMA...";29,78;"+0,93%";29,6;29,815;29,595;110700;"09:36 / 27.03."
659990;"MERCK KGAA INHA...";83,01;"+0,01%";83,24;83,26;82,68;45786;"09:35 / 27.03."
593700;"MAN SE INHABER-...";99,65;"+0,46%";99,8;99,8;99,31;54564;"09:36 / 27.03."
648300;"LINDE AG INHABE...";134,95;"+0,48%";135,8;135,9;134,8;85381;"09:36 / 27.03."
"KSAG88";"K+S AKTIENGESEL...";40,08;"+0,10%";40,28;40,285;39,92;99198;"09:36 / 27.03."
623100;"INFINEON TECHNO...";7,6;"+0,25%";7,62;7,649;7,55;652074;"09:36 / 27.03."
604843;"HENKEL AG & CO....";55,09;"+1,44%";55,29;55,39;54,86;241987;"09:36 / 27.03."
604700;"HEIDELBERGCEMEN...";46,26;"-0,18Ê%";46,4;46,5;45,88;170027;"09:36 / 27.03."
578560;"FRESENIUS SE & ...";78,09;"-0,67Ê%";78;78,42;77,93;37708;"09:34 / 27.03."
578580;"FRESENIUS MEDIC...";52,53;"-0,21Ê%";52,68;52,7;52,48;34937;"09:36 / 27.03."
"ENAG99";"E.ON AG NAMENS-...";18,34;"+1,10%";18,17;18,34;18,17;556025;"09:36 / 27.03."
555750;"DEUTSCHE TELEKO...";9,24;"+0,64%";9,222;9,25;9,215;1327230;"09:36 / 27.03."
555200;"DEUTSCHE POST A...";14,61;"+0,31%";14,6;14,645;14,57;264014;"09:36 / 27.03."
823212;"DEUTSCHE LUFTHA...";10,74;"+2,58%";10,72;10,785;10,695;1091310;"09:36 / 27.03."
581005;"DEUTSCHE B…RSE ...";51,17;"+0,67%";51,25;51,44;51,02;60987;"09:35 / 27.03."
514000;"DEUTSCHE BANK A...";39,23;"+0,68%";39,1;39,32;39,035;897214;"09:36 / 27.03."
710000;"DAIMLER AG NAME...";47,44;"+1,69%";47,29;47,465;47,115;828853;"09:36 / 27.03."
803200;"COMMERZBANK AG ...";1,98;"+1,33%";1,964;1,98;1,956;6014485;"09:36 / 27.03."
520000;"BEIERSDORF AG I...";48,98;"-0,07Ê%";49,075;49,16;48,925;27614;"09:36 / 27.03."
519000;"BAYERISCHE MOTO...";68,84;"+0,25%";69,2;69,3;68,4;375555;"09:36 / 27.03."
"BAY001";"BAYER AG NAMENS...";54;"+0,32%";54,1;54,16;53,85;229173;"09:36 / 27.03."
"BASF11";"BASF SE NAMENS-...";67,71;"+0,95%";67,47;67,91;67,37;344868;"09:36 / 27.03."
840400;"ALLIANZ SE VINK...";93,4;"+0,84%";93;93,44;92,96;198383;"09:36 / 27.03."
"A1EWWW";"ADIDAS AG NAMEN...";59,22;"+0,41%";59,09;59,28;59,02;50258;"09:35 / 27.03."
